x,v,t
184.671,7.41591,71.1077
185.494,6.94323,71.4402
186.955,7.48467,71.8134
187.962,7.15442,72.1358
189.066,7.61463,72.5018
190.178,6.96866,72.7625
191.114,6.02272,73.0019
191.965,5.81912,73.3184
192.824,5.47258,73.6429
193.594,4.91895,73.8681
194.08,4.73423,74.1247
194.666,4.41279,74.3803
195.256,4.01256,74.6638
195.651,3.77755,74.8853
196.347,3.71247,75.2427
196.848,3.42489,75.5018
197.149,3.04759,75.8265
197.552,2.82623,76.0689
197.957,2.72655,76.3433
198.16,2.57399,76.6121
198.566,3.08781,76.8839
198.974,3.52135,77.1475
199.588,3.11085,77.4024
199.999,2.62087,77.761
200.411,2.13332,78.0357
200.515,1.83885,78.2736
200.824,1.62801,78.5777
201.135,1.94703,78.9118
201.446,1.68059,79.1746
201.653,1.09285,79.4643
201.757,1.12991,79.7749
201.965,1.03358,80.1048
202.172,0.981163,80.3654
202.172,0.894169,80.5958
202.381,1.35046,80.9007
202.589,1.05433,81.1624
202.693,0.428612,81.4082
202.797,0.501212,81.6388
202.901,1.0397,81.91
203.006,0.46804,82.2505
203.11,0.358959,82.6017
203.11,0.292796,82.9372
203.214,0.507879,83.2631
203.214,0.0375667,83.538
203.214,0.417119,83.7992
203.319,0.143355,84.0276
203.319,0.221863,84.2693
203.319,0.351715,84.4908
203.423,0.544388,84.7728
203.423,0.0651932,85.0177
203.423,0.0981089,85.2215
203.527,0.401228,85.4788
203.527,0.15829,85.7448
